"workload","scenario","Min","FQ","MD","TQ","Max"
300,"all-in-one",0,0.00166666164983971,0.00333337248679322,0.0062502673783457,0.00833365349211425
300,"benchmark",0.00499372123564653,0.00833331297275714,0.00999999541330875,0.0116672423770641,0.0149743053439538
300,"by-dependencies",0.0016644098345598,0.00707676748106295,0.00833343640573267,0.00958286177466585,0.0116479009875096
300,"by-stack",0.00499138402866356,0.0070798873795317,0.00915187829333676,0.00999600034702457,0.0116675422948104
2400,"all-in-one",0.0466630769815492,0.0499225357117018,0.0557900249641269,0.0579123716698884,0.319989301149139
2400,"benchmark",0.0399979484974542,0.0420813134082529,0.0449974180459293,0.14791101012567,0.247906851168727
2400,"by-dependencies",0.0432580828571694,0.0437467352174508,0.0457905072896441,0.047832558145389,0.0633311915684856
2400,"by-stack",0.0466653096249285,0.0491139135388212,0.052447729676573,0.0569888723991609,0.0733293953255338
4500,"all-in-one",29.3687918986058,32.1222006082616,36.5118987692914,38.0826209744808,39.159796048905
4500,"benchmark",28.5596810158001,34.9950660296829,39.3671135200003,43.3855826677508,45.1514262065966
4500,"by-dependencies",39.2258374437875,46.0260387026008,46.9887628338535,48.8530310189326,49.5645223598377
4500,"by-stack",34.8778366193568,40.4681719024317,44.1483091113302,48.4109799825803,54.6381157041898
