"Time","receive - all-in-one","transmit - all-in-one"
2023-05-27 14:52:00,10170,-17780
2023-05-27 14:52:30,195928,-304033
2023-05-27 14:53:00,3646199,-4552651
2023-05-27 14:53:30,6783293,-8923285
2023-05-27 14:54:00,10099889,-12705389
2023-05-27 14:54:30,11641084,-13926254
2023-05-27 14:55:00,10786221,-14063366
2023-05-27 14:55:30,8274051,-10992747
2023-05-27 14:56:00,8507369,-11043236
2023-05-27 14:56:30,9614143,-12281659
2023-05-27 14:57:00,9627711,-12308646
2023-05-27 14:57:30,8502646,-11209032
2023-05-27 14:58:00,7915250,-9966879
2023-05-27 14:58:30,8712760,-11147973
2023-05-27 14:59:00,8202658,-10503123
2023-05-27 14:59:30,7501900,-9788967
2023-05-27 15:00:00,8175926,-10464598
2023-05-27 15:00:30,7757875,-9934369
2023-05-27 15:01:00,7475176,-9145535
2023-05-27 15:01:30,7295348,-9388934
2023-05-27 15:02:00,6230717,-7971311

