"Time","by-stack"
2023-05-28 11:33:00,0.0440
2023-05-28 11:33:30,0.877
2023-05-28 11:34:00,3.34
2023-05-28 11:34:30,3.25
2023-05-28 11:35:00,3.55
2023-05-28 11:35:30,3.53
2023-05-28 11:36:00,3.63
2023-05-28 11:36:30,3.44
2023-05-28 11:37:00,3.48
2023-05-28 11:37:30,3.68
2023-05-28 11:38:00,2.94
2023-05-28 11:38:30,2.95
2023-05-28 11:39:00,3.42
2023-05-28 11:39:30,3.01
2023-05-28 11:40:00,3.26
2023-05-28 11:40:30,2.38
2023-05-28 11:41:00,0.0639
2023-05-28 11:41:30,0.418
2023-05-28 11:42:00,0.237
2023-05-28 11:42:30,0.0560
2023-05-28 11:43:00,0.0410

